franchise,part,title,year,franchise_length,rating,rating_avg,rating_diff_avg,rating_rel_avg,quality_avg
Best of the Best,2,Best of the Best 2,1993,4,2.92,2.98,-0.06,-2.0,worse
Best of the Best,3,Best of the Best 3: No Turning Back,1995,4,2.98,2.98,-0.0,-0.0,equal
Best of the Best,4,Best of the Best 4: Without Warning,1998,4,2.94,2.98,-0.04,-1.0,worse
Beverly Hills Chihuahua,1,Beverly Hills Chihuahua,2008,3,2.19,2.19,-0.0,-0.0,equal
Beverly Hills Chihuahua,2,Beverly Hills Chihuahua 2,2011,3,2.16,2.19,-0.03,-1.0,worse
Beverly Hills Chihuahua,3,Beverly Hills Chihuahua 3: Viva la Fiesta!,2012,3,2.23,2.19,0.04,2.0,better
Beverly Hills Cop,1,Beverly Hills Cop,1984,3,3.6,3.13,0.47,15.0,better
Beverly Hills Cop,2,Beverly Hills Cop II,1987,3,3.21,3.13,0.08,3.0,better
Beverly Hills Cop,3,Beverly Hills Cop III,1994,3,2.58,3.13,-0.55,-18.0,worse
Beyond the Door,1,Beyond the Door,1974,3,2.73,3.0,-0.27,-9.0,worse
Beyond the Door,2,Shock,1977,3,3.3,3.0,0.3,10.0,better
Beyond the Door,3,Beyond the Door III,1989,3,2.97,3.0,-0.03,-1.0,worse
Bibi & Tina,1,Bibi & Tina,2014,5,2.95,2.87,0.08,3.0,better
Bibi & Tina,2,Bibi & Tina: Bewildered and Bewitched,2014,5,3.0,2.87,0.13,5.0,better
Bibi & Tina,3,Bibi & Tina: Girls vs. Boys,2016,5,2.97,2.87,0.1,3.0,better
Bibi & Tina,4,Bibi & Tina: Perfect Pandemonium,2017,5,2.68,2.87,-0.19,-7.0,worse
Bibi & Tina,5,Bibi & Tina - Einfach anders,2022,5,2.77,2.87,-0.1,-3.0,worse
Big Momma's House,1,Big Momma's House,2000,3,2.41,2.22,0.19,9.0,better
Big Momma's House,2,Big Momma's House 2,2006,3,2.23,2.22,0.01,0.0,better
Big Momma's House,3,"Big Mommas: Like Father, Like Son",2011,3,2.03,2.22,-0.19,-9.0,worse
Bill & Ted's Most Excellent,1,Bill & Ted's Excellent Adventure,1989,3,3.63,3.3,0.33,10.0,better
Bill & Ted's Most Excellent,2,Bill & Ted's Bogus Journey,1991,3,3.28,3.3,-0.02,-1.0,worse
Bill & Ted's Most Excellent,3,Bill & Ted Face the Music,2020,3,3.0,3.3,-0.3,-9.0,worse
Billy Jack,1,The Born Losers,1967,4,3.06,3.0,0.06,2.0,better
Billy Jack,2,Billy Jack,1971,4,3.09,3.0,0.09,3.0,better
Billy Jack,3,The Trial of Billy Jack,1974,4,2.94,3.0,-0.06,-2.0,worse
Billy Jack,4,Billy Jack Goes to Washington,1977,4,2.89,3.0,-0.1,-3.0,worse
Bionicle,1,Bionicle: Mask of Light,2003,4,2.88,2.81,0.07,2.0,better
Bionicle,2,Bionicle 2: Legends of Metru Nui,2004,4,2.93,2.81,0.12,4.0,better
Bionicle,3,Bionicle 3: Web of Shadows,2005,4,2.83,2.81,0.02,1.0,better
Bionicle,4,Bionicle: The Legend Reborn,2009,4,2.6,2.81,-0.21,-7.0,worse
Birdemic,1,Birdemic: Shock and Terror,2010,3,1.59,1.78,-0.19,-11.0,worse
