tconst,averageRating,numVotes,low_votes
tt0005529,6.6,474,False
tt0005530,6.6,13,False
tt0005535,7.3,48,False
tt0005537,6.4,14,False
tt0005551,7.0,45,False
tt0005553,4.2,30,False
tt0005554,8.1,21,False
tt0005556,8.0,30,False
tt0005557,6.6,522,False
tt0005561,7.6,23,False
tt0005562,4.4,41,False
tt0005565,6.2,12,False
tt0005566,6.1,19,False
tt0005579,5.9,40,False
tt0005581,5.2,17,False
tt0005589,5.9,39,False
tt0005592,6.1,31,False
tt0005594,6.6,19,False
tt0005600,5.5,69,False
tt0005604,5.2,25,False
tt0005607,7.0,19,False
tt0005613,6.2,24,False
tt0005615,6.6,69,False
tt0005621,6.8,60,False
tt0005624,4.7,23,False
tt0005626,6.0,17,False
tt0005636,5.8,17,False
tt0005642,5.3,9,True
tt0005644,7.0,21,False
tt0005667,1.9,31,False
tt0005680,5.9,240,False
tt0005682,5.2,107,False
tt0005683,5.8,67,False
tt0005685,5.2,28,False
tt0005689,5.8,16,False
tt0005700,5.7,41,False
tt0005714,4.3,8,True
tt0005715,4.4,16,False
tt0005716,7.0,17,False
tt0005719,5.7,234,False
tt0005733,6.8,23,False
tt0005739,6.7,41,False
tt0005746,5.0,25,False
tt0005752,7.7,23,False
tt0005754,6.0,18,False
tt0005756,6.3,31,False
tt0005764,7.2,16,False
tt0005769,4.8,13,False
tt0005770,4.6,21,False
tt0005772,4.8,31,False
tt0005785,5.0,18,False
tt0005790,6.8,20,False
tt0005793,5.5,21,False
tt0005802,1.6,32,False
tt0005805,7.2,6,True
tt0005808,5.4,38,False
tt0005809,6.7,330,False
tt0005811,6.4,17,False
tt0005823,5.9,77,False
tt0005824,5.2,18,False
tt0005831,6.8,30,False
tt0005832,5.7,95,False
tt0005847,5.9,20,False
tt0005853,4.4,17,False
tt0005871,6.6,35,False
tt0005879,5.7,38,False
tt0005883,7.0,18,False
tt0005884,4.6,19,False
tt0005889,6.5,12,False
tt0005901,5.8,27,False
tt0005903,7.3,10,False
tt0005905,7.0,34,False
tt0005916,6.8,1131,False
tt0005921,7.2,19,False
tt0005922,5.4,23,False
tt0005927,6.4,15,False
tt0005928,5.3,34,False
tt0005930,5.8,29,False
tt0005931,6.4,62,False
tt0005939,5.1,37,False
tt0005945,6.7,93,False
tt0005951,6.6,991,False
tt0005955,5.3,157,False
tt0005960,6.8,1563,False
tt0005974,6.8,32,False
tt0005979,6.4,22,False
tt0005984,6.3,22,False
tt0005987,5.8,28,False
tt0005994,8.4,17,False
tt0005997,5.5,27,False
tt0006002,4.6,24,False
tt0006007,7.0,21,False
tt0006008,5.8,49,False
tt0006011,7.0,9,True
tt0006027,6.1,21,False
tt0006037,7.6,16,False
tt0006040,8.0,29,False
tt0006041,5.9,21,False
tt0006043,5.0,21,False
tt0006052,5.6,17,False
tt0006059,5.4,21,False
tt0006063,4.2,28,False
tt0006084,6.0,19,False
tt0006101,7.2,41,False
tt0006102,5.3,77,False
tt0006106,5.2,11,False
tt0006108,7.9,16,False
tt0006128,5.4,22,False
tt0006140,5.1,30,False
tt0006144,2.5,40,False
tt0006160,5.6,63,False
tt0006182,5.6,158,False
tt0006190,4.3,20,False
tt0006201,2.3,31,False
tt0006202,5.0,21,False
tt0006204,6.6,29,False
tt0006206,7.3,5878,False
tt0006210,5.8,29,False
tt0006213,2.8,34,False
tt0006217,6.5,35,False
tt0006238,7.3,44,False
tt0006241,7.8,31,False
tt0006243,5.2,34,False
tt0006270,6.8,15,False
tt0006276,6.3,46,False
tt0006279,1.9,32,False
tt0006280,1.7,27,False
tt0006283,6.7,42,False
tt0006291,6.8,39,False
tt0006299,8.3,27,False
tt0006318,5.4,28,False
tt0006327,5.8,237,False
tt0006332,5.8,14,False
tt0006333,6.1,2235,False
tt0006339,4.9,50,False
tt0006343,4.6,32,False
tt0006345,4.7,13,False
tt0006350,4.7,37,False
tt0006357,6.0,154,False
tt0006358,7.4,25,False
tt0006359,5.9,107,False
tt0006371,5.8,33,False
tt0006373,7.2,37,False
tt0006375,6.0,71,False
tt0006385,6.5,24,False
tt0006386,6.3,54,False
tt0006397,5.8,74,False
tt0006405,6.6,505,False
tt0006409,7.3,84,False
tt0006412,5.8,14,False
tt0006413,5.4,23,False
tt0006417,5.5,39,False
tt0006419,4.1,24,False
tt0006426,5.0,60,False
tt0006428,6.0,16,False
tt0006434,5.5,30,False
tt0006436,5.7,21,False
tt0006437,7.5,33,False
tt0006441,4.2,20,False
tt0006456,7.0,36,False
tt0006463,8.3,22,False
tt0006467,6.4,20,False
tt0006476,4.5,22,False
tt0006481,6.0,88,False
tt0006482,6.0,164,False
tt0006489,5.4,38,False
tt0006493,4.8,11,False
tt0006495,5.6,18,False
tt0006505,7.1,26,False
tt0006508,6.8,54,False
tt0006509,5.2,611,False
tt0006511,6.4,98,False
tt0006517,5.8,473,False
tt0006520,4.6,14,False
tt0006547,7.7,111,False
tt0006554,6.2,31,False
tt0006557,6.3,36,False
tt0006564,5.1,86,False
tt0006566,3.8,17,False
tt0006568,6.6,75,False
tt0006569,4.4,19,False
tt0006570,5.7,26,False
tt0006571,5.6,15,False
tt0006580,5.0,20,False
tt0006586,7.2,17,False
tt0006588,6.8,20,False
tt0006589,6.4,205,False
tt0006592,5.9,86,False
tt0006595,4.4,17,False
tt0006600,3.8,34,False
tt0006605,6.6,31,False
tt0006611,6.1,23,False
tt0006614,6.4,341,False
tt0006617,6.1,293,False
tt0006621,5.6,59,False
tt0006623,5.2,12,False
tt0006626,7.0,15,False
tt0006631,6.2,24,False
tt0006637,7.2,24,False
tt0006638,6.6,23,False
tt0006641,4.8,21,False
tt0006653,6.5,33,False
tt0006664,5.3,113,False
tt0006666,5.6,45,False
tt0006670,7.0,16,False
tt0006673,3.5,31,False
tt0006679,4.8,41,False
tt0006688,6.4,237,False
tt0006692,4.6,42,False
tt0006696,6.3,16,False
tt0006698,6.8,11,False
tt0006699,5.4,27,False
tt0006700,5.6,14,False
tt0006703,5.7,70,False
tt0006706,5.8,51,False
tt0006707,5.4,21,False
tt0006709,7.2,34,False
tt0006713,6.1,75,False
tt0006714,4.9,21,False
tt0006715,6.7,12,False
tt0006716,3.6,23,False
tt0006726,6.0,42,False
tt0006730,6.1,17,False
tt0006731,5.9,679,False
tt0006736,6.6,321,False
tt0006745,6.4,557,False
tt0006751,5.7,92,False
tt0006753,6.6,284,False
tt0006755,6.6,20,False
tt0006761,5.9,104,False
tt0006766,7.7,20,False
tt0006770,6.0,25,False
tt0006773,5.9,50,False
tt0006777,4.8,20,False
tt0006780,6.7,1185,False
tt0006809,5.9,209,False
tt0006819,5.9,79,False
tt0006820,6.0,133,False
tt0006826,5.9,971,False
tt0006831,6.4,25,False
tt0006836,2.3,24,False
tt0006846,5.8,59,False
tt0006847,6.1,38,False
tt0006859,6.2,61,False
tt0006861,6.2,58,False
tt0006863,5.4,18,False
tt0006864,7.6,17930,False
tt0006865,6.0,62,False
tt0006867,6.1,50,False
tt0006870,5.6,17,False
tt0006874,6.6,24,False
tt0006886,7.2,1228,False
tt0006893,4.4,35,False
tt0006895,5.4,111,False
tt0006907,7.0,15,False
tt0006914,5.8,66,False
tt0006917,3.5,33,False
tt0006932,6.4,68,False
tt0006933,6.0,18,False
tt0006942,7.7,27,False
tt0006943,5.8,53,False
tt0006995,6.4,42,False
tt0006996,4.7,12,False
tt0006997,6.2,153,False
tt0007000,7.9,20,False
tt0007005,4.6,32,False
tt0007009,5.1,22,False
tt0007012,4.3,35,False
tt0007019,4.6,14,False
tt0007021,8.7,46,False
tt0007031,6.1,119,False
tt0007034,7.4,43,False
tt0007038,6.8,35,False
tt0007042,4.7,21,False
tt0007047,6.3,670,False
tt0007057,5.8,11,False
tt0007060,5.4,18,False
tt0007061,4.6,24,False
tt0007070,5.1,12,False
tt0007074,4.8,21,False
tt0007094,8.4,37,False
tt0007100,7.5,41,False
tt0007107,5.8,42,False
tt0007110,6.7,21,False
tt0007111,5.6,32,False
tt0007116,6.1,26,False
tt0007117,5.2,26,False
tt0007118,7.6,49,False
tt0007120,7.0,39,False
tt0007142,6.8,40,False
tt0007146,6.2,24,False
tt0007160,6.9,26,False
tt0007165,6.0,20,False
tt0007167,5.1,33,False
tt0007168,7.2,11,False
tt0007183,6.6,926,False
tt0007184,4.9,33,False
tt0007188,6.1,54,False
tt0007201,8.1,23,False
tt0007202,6.1,101,False
tt0007205,9.0,16,False
tt0007220,4.9,20,False
tt0007227,5.2,21,False
tt0007229,5.8,30,False
tt0007230,7.0,15,False
tt0007232,6.2,12,False
tt0007240,6.5,52,False
tt0007246,3.6,22,False
tt0007248,7.1,30,False
tt0007255,5.1,30,False
tt0007257,5.3,631,False
tt0007259,4.8,18,False
tt0007260,6.3,247,False
tt0007263,4.8,53,False
